prompt_name,mode,prompt_tokens,ttft_sec,decode_sec_per_token,total_latency_sec,peak_vram_mb,generated_text
factual_qa,reduced_context,512,0.049397945404052734,0.03598462790250778,2.3525140285491943,13942.94921875,"explanation. Answer: The main causes of climate change are human activities that increase greenhouse gas concentrations in the Earth's atmosphere. These activities include burning fossil fuels for transportation, electricity, and industry; deforestation and other forms of land use change; and industrial production. Greenhouse gases, such"
factual_qa,reduced_context,512,0.04760169982910156,0.03569158539175987,2.3319456577301025,13942.94921875,"explanation. Answer: The main causes of climate change are human activities that increase greenhouse gas concentrations in the Earth's atmosphere. These activities include burning fossil fuels for transportation, electricity, and industry; deforestation and other forms of land use change; and industrial production. Greenhouse gases, such"
factual_qa,full_context,1024,0.0847775936126709,0.03537982702255249,2.349172353744507,14065.21484375,"greenhouse gas concentrations and trap heat in the atmosphere. Climate change refers to long-term changes in temperatures and weather patterns. Human activities such as burning fossil fuels, deforestation, and industrial production increase greenhouse gas concentrations and trap heat in the atmosphere. Climate change refers to long-"
factual_qa,full_context,1024,0.08478093147277832,0.035382483154535294,2.349350690841675,14065.21484375,"greenhouse gas concentrations and trap heat in the atmosphere. Climate change refers to long-term changes in temperatures and weather patterns. Human activities such as burning fossil fuels, deforestation, and industrial production increase greenhouse gas concentrations and trap heat in the atmosphere. Climate change refers to long-"
summarization,reduced_context,512,0.04729175567626953,0.03553054481744766,2.321321964263916,13942.94921875,"become increasingly memory-bound. Large language model serving becomes slower as context length increases. This happens because more key-value states must be stored and accessed during decoding. As the prompt grows, memory usage rises and inference may become increasingly memory-bound. Large language model serving becomes slower as context length increases."
summarization,reduced_context,512,0.04707622528076172,0.03572743386030197,2.3337090015411377,13942.94921875,"become increasingly memory-bound. Large language model serving becomes slower as context length increases. This happens because more key-value states must be stored and accessed during decoding. As the prompt grows, memory usage rises and inference may become increasingly memory-bound. Large language model serving becomes slower as context length increases."
summarization,full_context,1024,0.08486032485961914,0.0358998067677021,2.3825364112854004,14065.21484375,"ises and inference may become increasingly memory-bound. Large language model serving becomes slower as context length increases. This happens because more key-value states must be stored and accessed during decoding. As the prompt grows, memory usage rises and inference may become increasingly memory-bound. Large language model serving becomes slower"
summarization,full_context,1024,0.08477544784545898,0.03610627353191376,2.395746946334839,14065.21484375,"ises and inference may become increasingly memory-bound. Large language model serving becomes slower as context length increases. This happens because more key-value states must be stored and accessed during decoding. As the prompt grows, memory usage rises and inference may become increasingly memory-bound. Large language model serving becomes slower"
reasoning,reduced_context,512,0.047220706939697266,0.03550975024700165,2.3199243545532227,13942.94921875,"more memory must be accessed during decoding. Autoregressive decoding generates one token at a time. To avoid recomputing attention for all previous tokens, the model caches key and value states. As more tokens are added, the cache grows and more memory must be accessed during decoding. Autoregress"
reasoning,reduced_context,512,0.047608375549316406,0.035503093153238297,2.3198938369750977,13942.94921875,"more memory must be accessed during decoding. Autoregressive decoding generates one token at a time. To avoid recomputing attention for all previous tokens, the model caches key and value states. As more tokens are added, the cache grows and more memory must be accessed during decoding. Autoregress"
