prompt_name,mode,prompt_tokens,ttft_sec,decode_sec_per_token,total_latency_sec,peak_vram_mb,generated_text
factual_qa,reduced_context,512,0.03029775619506836,0.02384813502430916,1.5566649436950684,2153.36328125,"trap heat in the atmosphere. Climate change refers to long-term changes in temperatures and weather patterns. Human activities such as burning fossil fuels, deforestation, and industrial production increase greenhouse gas concentrations and trap heat in the atmosphere. Climate change refers to long-term changes in temper"
factual_qa,reduced_context,512,0.028254985809326172,0.023903541266918182,1.558157205581665,2153.36328125,"trap heat in the atmosphere. Climate change refers to long-term changes in temperatures and weather patterns. Human activities such as burning fossil fuels, deforestation, and industrial production increase greenhouse gas concentrations and trap heat in the atmosphere. Climate change refers to long-term changes in temper"
factual_qa,full_context,1024,0.030934572219848633,0.023953910917043686,1.5640604496002197,2196.875,"house gas concentrations and trap heat in the atmosphere. Climate change refers to long-term changes in temperatures and weather patterns. Human activities such as burning fossil fuels, deforestation, and industrial production increase greenhouse gas concentrations and trap heat in the atmosphere. Climate change refers to long"
factual_qa,full_context,1024,0.030925750732421875,0.024000078439712524,1.5670089721679688,2196.875,"house gas concentrations and trap heat in the atmosphere. Climate change refers to long-term changes in temperatures and weather patterns. Human activities such as burning fossil fuels, deforestation, and industrial production increase greenhouse gas concentrations and trap heat in the atmosphere. Climate change refers to long"
summarization,reduced_context,512,0.028145551681518555,0.02388419210910797,1.556809902191162,2153.36328125,"prompt grows, memory usage rises and inference may become increasingly memory-bound. Large language model serving becomes slower as context length increases. This happens because more key-value states must be stored and accessed during decoding. As the prompt grows, memory usage rises and inference may become increasingly memory-bound"
summarization,reduced_context,512,0.028174877166748047,0.02399251237511635,1.563772201538086,2153.36328125,"prompt grows, memory usage rises and inference may become increasingly memory-bound. Large language model serving becomes slower as context length increases. This happens because more key-value states must be stored and accessed during decoding. As the prompt grows, memory usage rises and inference may become increasingly memory-bound"
summarization,full_context,1024,0.03174948692321777,0.02423902601003647,1.583134412765503,2196.875,"more key-value states must be stored and accessed during decoding. As the prompt grows, memory usage rises and inference may become increasingly memory-bound. Large language model serving becomes slower as context length increases. This happens because more key-value states must be stored and accessed during decoding. As the"
summarization,full_context,1024,0.030886173248291016,0.024035725742578506,1.569272756576538,2196.875,"more key-value states must be stored and accessed during decoding. As the prompt grows, memory usage rises and inference may become increasingly memory-bound. Large language model serving becomes slower as context length increases. This happens because more key-value states must be stored and accessed during decoding. As the"
reasoning,reduced_context,512,0.028676271438598633,0.02419232577085495,1.5770609378814697,2153.36328125,"more memory must be accessed during decoding. Autoregressive decoding generates one token at a time. To avoid recomputing attention for all previous tokens, the model caches key and value states. As more tokens are added, the cache grows and more memory must be accessed during decoding. Autoregress"
reasoning,reduced_context,512,0.02853679656982422,0.024128835648298264,1.5728607177734375,2153.36328125,"more memory must be accessed during decoding. Autoregressive decoding generates one token at a time. To avoid recomputing attention for all previous tokens, the model caches key and value states. As more tokens are added, the cache grows and more memory must be accessed during decoding. Autoregress"
reasoning,full_context,1024,0.031043052673339844,0.02398626133799553,1.56624436378479,2196.875,"tokens are added, the cache grows and more memory must be accessed during decoding. Autoregressive decoding generates one token at a time. To avoid recomputing attention for all previous tokens, the model caches key and value states. As more tokens are added, the cache grows and more memory must be"
reasoning,full_context,1024,0.030898571014404297,0.023893143981695175,1.5601375102996826,2196.875,"tokens are added, the cache grows and more memory must be accessed during decoding. Autoregressive decoding generates one token at a time. To avoid recomputing attention for all previous tokens, the model caches key and value states. As more tokens are added, the cache grows and more memory must be"
retrieval_style,reduced_context,512,0.0282440185546875,0.023949064314365387,1.5610613822937012,2153.36328125,"text? 
<|assistant|>
Retrieval-augmented generation (RAG) can become slower with large amounts of retrieved text because the language model needs to generate more states to represent the retrieved text. When there are many retrieved chunks of text, the language model needs to generate"
retrieval_style,reduced_context,512,0.02809929847717285,0.023969527333974838,1.5622234344482422,2153.36328125,"text? 
<|assistant|>
Retrieval-augmented generation (RAG) can become slower with large amounts of retrieved text because the language model needs to generate more states to represent the retrieved text. When there are many retrieved chunks of text, the language model needs to generate"
retrieval_style,full_context,1024,0.031440019607543945,0.024215318262577057,1.5813045501708984,2196.875,"decoding. In retrieval-augmented generation, relevant chunks of text are appended to the prompt before the language model generates an answer. While this can improve factual accuracy, it also increases prompt length and therefore increases the number of cached states used during decoding. In retrieval-augmented"
retrieval_style,full_context,1024,0.03106093406677246,0.024107877165079117,1.5740442276000977,2196.875,"decoding. In retrieval-augmented generation, relevant chunks of text are appended to the prompt before the language model generates an answer. While this can improve factual accuracy, it also increases prompt length and therefore increases the number of cached states used during decoding. In retrieval-augmented"
long_context_explanation,reduced_context,512,0.028403520584106445,0.02429279312491417,1.583216667175293,2153.36328125,"stage memory traffic can affect the performance of large language models. 
<|assistant|>
Prompt length, KV cache growth, and decode stage memory traffic are all factors that can affect the performance of large language models. Here's how they affect the performance of a pre-trained B"
long_context_explanation,reduced_context,512,0.029823780059814453,0.02421896532177925,1.579921007156372,2153.36328125,"stage memory traffic can affect the performance of large language models. 
<|assistant|>
Prompt length, KV cache growth, and decode stage memory traffic are all factors that can affect the performance of large language models. Here's how they affect the performance of a pre-trained B"
long_context_explanation,full_context,1024,0.030960798263549805,0.024072468280792236,1.5716772079467773,2196.875,"previous tokens. As prompts become longer, both the cache size and the amount of memory traffic can increase. Large language models process the prompt first in a prefill stage and then generate tokens in a decode stage. The decode stage reuses cached key-value states from previous tokens. As prompts become longer,"
long_context_explanation,full_context,1024,0.030872344970703125,0.024073954671621323,1.5716910362243652,2196.875,"previous tokens. As prompts become longer, both the cache size and the amount of memory traffic can increase. Large language models process the prompt first in a prefill stage and then generate tokens in a decode stage. The decode stage reuses cached key-value states from previous tokens. As prompts become longer,"
